Group,N_total,tf,at_risk,events,fraction_frozen,S_T,FF_CI_lower,FF_CI_upper,K,K_CI_lower,K_CI_upper
Handling_blank,41,-30.77,9,1,0.8048780487804879,0.19512195121951215,0.6727477728358864,0.9084273133861245,1.6341305250244722,1.117024068518988,2.3906222328380955
Handling_blank,41,-31.11,8,1,0.8292682926829268,0.17073170731707313,0.7008629128681823,0.924910215833025,1.7676619176489943,1.2068533252730678,2.589070759198953
Handling_blank,41,-31.22,7,1,0.8536585365853658,0.1463414634146341,0.7296677039354125,0.9405993096287111,1.9218125974762528,1.3081033505412547,2.823449430268806
Handling_blank,41,-32.36,6,1,0.8780487804878049,0.12195121951219509,0.7592789306191043,0.9553482337459305,2.1041341542702074,1.4241164042437622,3.108861414680101
Handling_blank,41,-32.49,5,1,0.9024390243902439,0.09756097560975607,0.7898602257841209,0.9689443986987916,2.3272777055844176,1.5599823781682678,3.471976090697898
Handling_blank,41,-32.56,4,1,0.926829268292683,0.07317073170731705,0.821645905901023,0.9810585315795858,2.614959778036199,1.7239844120217176,3.966401664112602
Handling_blank,41,-32.63,3,1,0.9512195121951219,0.048780487804878044,0.8549516591521118,0.9911314210060742,3.0204248861443617,1.9306882069641964,4.7252406991106515
Handling_blank,41,-32.65,2,1,0.975609756097561,0.024390243902439022,0.8897371372824459,0.9980783396431465,3.713572066704307,2.204888102820491,6.254565697445378
Handling_blank,41,-32.69,1,1,1.0,0.0,0.8897371372824459,1.0,inf,2.204888102820491,inf
Untreated,39,-14.02,39,1,0.02564102564102564,0.9743589743589743,0.003651979630550972,0.1684124010674698,0.025975486403260677,0.0036586643881904623,0.18441863540801334
Untreated,39,-14.25,38,1,0.05128205128205128,0.9487179487179487,0.013077370304033331,0.18984667972881808,0.05264373348542203,0.01316363198705096,0.2105317649422529
Untreated,39,-14.4,37,1,0.07692307692307693,0.9230769230769231,0.025476994692536392,0.21984144999596467,0.08004270767353637,0.025807153019722823,0.24825811071894888
Untreated,39,-14.65,36,1,0.10256410256410256,0.8974358974358975,0.039781427796777624,0.2505894268477985,0.10821358464023272,0.04059434105691469,0.28846828389875123
Untreated,39,-14.77,35,1,0.1282051282051282,0.8717948717948718,0.055468977024265564,0.28097700489523125,0.137201121513485,0.0570667466554416,0.32986193970745875
Untreated,39,-14.84,34,1,0.15384615384615385,0.8461538461538461,0.07223787553301808,0.31077942787541124,0.1670540846631662,0.07497991044778177,0.37219392549266417
Untreated,39,-14.88,33,1,0.1794871794871795,0.8205128205128205,0.08989476970312194,0.33996866050677044,0.19782574332991992,0.09419504846788648,0.41546796100834826
Untreated,39,-14.95,32,2,0.23076923076923078,0.7692307692307692,0.12737955044449245,0.3966115343937431,0.2623642644674911,0.1362545833672421,0.5051940681073392
Untreated,39,-15.03,30,1,0.2564102564102564,0.7435897435897435,0.14704124031030952,0.42413451313667305,0.2962658161431724,0.159044080033567,0.5518811753097327
Untreated,39,-15.11,29,2,0.3076923076923077,0.6923076923076922,0.18792818719704218,0.4777367160555268,0.3677247801253174,0.20816650331848377,0.6495834428814486
Untreated,39,-15.15,27,1,0.3333333333333333,0.6666666666666666,0.2090785893780095,0.5038639251998567,0.4054651081081643,0.2345566706106535,0.7009050455276131
Untreated,39,-15.19,26,2,0.38461538461538464,0.6153846153846154,0.2526621421842006,0.5548594635368795,0.48550781578170077,0.2912379098672448,0.8093652343974217
Untreated,39,-15.23,24,2,0.4358974358974359,0.5641025641025641,0.29784202244679914,0.6042540643652496,0.5725191927713306,0.3535968610242858,0.926982850305969
Untreated,39,-15.27,22,1,0.46153846153846156,0.5384615384615384,0.3210023874572193,0.6283688366753264,0.6190392084062235,0.3871376675669117,0.9898534130057779
Untreated,39,-15.34,21,1,0.48717948717948717,0.5128205128205128,0.3445344091277539,0.6520993187261054,0.6678293725756556,0.4224094701047041,1.0558382385798384
Untreated,39,-15.38,20,2,0.5384615384615384,0.4615384615384615,0.3927043015950925,0.6984040719479918,0.7731898882334817,0.4987394592505603,1.1986671440932966
Untreated,39,-15.41,18,2,0.5897435897435898,0.4102564102564102,0.4423602384365938,0.7431350042321306,0.8909729238898653,0.5840421136789239,1.3592046404058868
Untreated,39,-15.46,16,1,0.6153846153846154,0.3846153846153845,0.46776026860850806,0.7648872692898708,0.9555114450274365,0.6306612682241698,1.4476901747102247
